user_id,Submit_Date,Start_Date,Date_Timestamp,Question_01,Question_02,Question_03,Question_04,Question_05,Question_06,Question_07,Question_08,Question_09,Question_10,Question_11,Question_12,Question_13,Question_14,Question_15,Question_16,Question_17,Question_18,Question_19,Question_20
621e30e267b776a240e5bf90,29/11/2021 11:40,29/11/2021 11:39,29/11/2021 11:40,4,5,4,3,3,4,2,2,3,3,2,2,1,3,2,2,3,2,3,1
621e30e267b776a240e5bf90,6/12/2021 11:00,6/12/2021 10:58,6/12/2021 11:00,2,5,4,2,3,5,1,2,4,3,2,2,2,2,1,1,3,2,3,2
621e30e267b776a240e5bf90,20/12/2021 10:14,20/12/2021 10:13,20/12/2021 10:14,3,2,4,2,2,3,1,1,3,3,2,1,2,3,4,3,3,1,4,1
621e30e267b776a240e5bf90,23/11/2021 10:36,23/11/2021 10:35,23/11/2021 10:36,2,4,3,2,2,2,1,2,4,3,2,2,1,1,2,4,3,2,2,3
621e30e267b776a240e5bf90,13/12/2021 11:18,13/12/2021 11:17,13/12/2021 11:18,4,4,4,2,2,4,1,2,2,3,2,2,3,2,2,5,2,2,2,1
621e30e267b776a240e5bf90,3/1/2022 10:43,3/1/2022 10:43,3/1/2022 10:43,4,1,5,2,2,2,1,2,3,2,2,2,2,3,2,3,2,2,1,1
621e30e467b776a240e817c7,14/6/2021 20:00,14/6/2021 19:59,14/6/2021 20:00,2,3,2,4,2,1,2,4,3,2,4,3,1,1,4,3,2,2,4,2
621e30e467b776a240e817c7,5/7/2021 1:25,5/7/2021 1:24,5/7/2021 1:25,4,3,3,2,2,2,2,3,3,2,2,3,2,4,2,4,4,2,4,2
621e30e467b776a240e817c7,31/7/2021 13:50,31/7/2021 13:43,31/7/2021 13:50,3,2,3,2,3,2,2,2,3,3,3,3,2,3,2,3,3,2,3,2
621e30e467b776a240e817c7,6/6/2021 20:08,6/6/2021 20:07,6/6/2021 20:08,3,4,3,4,3,4,3,4,2,2,5,5,2,2,5,3,2,2,3,2
621e310d67b776a24003096d,27/12/2021 15:41,27/12/2021 15:41,27/12/2021 15:41,3,2,5,2,3,2,2,1,4,2,2,3,2,3,2,3,4,2,3,2
621e310d67b776a24003096d,4/1/2022 20:52,4/1/2022 20:51,4/1/2022 20:52,2,4,1,2,1,4,3,1,1,1,3,4,4,1,4,2,2,3,2,3
621e310d67b776a24003096d,22/11/2021 13:55,22/11/2021 13:52,22/11/2021 13:55,4,4,4,4,3,1,2,1,4,3,2,4,1,3,4,2,5,1,4,2
621e312a67b776a240164d59,22/11/2021 10:49,22/11/2021 10:48,22/11/2021 10:49,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3
621e312a67b776a240164d59,29/11/2021 12:30,29/11/2021 12:30,29/11/2021 12:30,4,3,2,3,3,3,3,3,3,3,4,4,3,2,3,2,3,3,3,3
621e312a67b776a240164d59,11/1/2022 10:24,11/1/2022 10:22,11/1/2022 10:24,2,3,4,3,4,3,3,4,3,2,3,2,4,3,4,2,3,4,3,4
621e312a67b776a240164d59,14/12/2021 10:38,14/12/2021 10:36,14/12/2021 10:38,4,4,4,4,4,3,3,2,3,3,3,3,3,4,4,4,4,3,4,3
621e312a67b776a240164d59,20/12/2021 10:13,20/12/2021 10:12,20/12/2021 10:13,4,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,3
621e312a67b776a240164d59,27/12/2021 11:19,27/12/2021 11:19,27/12/2021 11:19,2,3,4,3,2,3,2,3,3,2,4,3,3,4,3,2,4,3,3,4
621e314867b776a24029ebf9,31/5/2021 20:27,31/5/2021 20:26,31/5/2021 20:27,4,2,4,1,2,1,1,1,4,4,2,1,1,4,2,4,3,1,4,1
621e314867b776a24029ebf9,23/6/2021 11:28,23/6/2021 11:27,23/6/2021 11:28,4,4,4,1,2,1,1,1,4,4,2,2,1,4,1,4,3,2,3,1
621e323667b776a240f19134,22/11/2021 10:45,22/11/2021 10:43,22/11/2021 10:45,4,3,4,4,4,1,1,1,4,5,4,4,2,4,3,4,4,2,4,2
621e323667b776a240f19134,29/11/2021 11:47,29/11/2021 11:46,29/11/2021 11:47,4,2,4,2,5,1,1,4,4,4,2,4,1,4,2,4,4,2,5,1
621e323667b776a240f19134,12/12/2021 22:45,12/12/2021 22:44,12/12/2021 22:45,2,4,4,2,2,1,2,4,2,2,2,4,2,4,4,4,4,2,2,2
621e323667b776a240f19134,20/12/2021 17:39,20/12/2021 17:39,20/12/2021 17:39,4,2,4,2,4,2,2,4,4,5,2,4,2,4,2,4,2,2,4,2
621e323667b776a240f19134,3/1/2022 13:52,3/1/2022 13:51,3/1/2022 13:52,3,4,2,2,4,1,2,4,3,2,2,2,2,2,4,2,2,2,3,2
621e323667b776a240f19134,11/1/2022 15:31,11/1/2022 15:31,11/1/2022 15:31,4,2,4,2,4,1,1,4,4,4,2,3,2,4,2,4,2,2,4,2
621e324e67b776a2400191cb,6/12/2021 11:01,6/12/2021 11:00,6/12/2021 11:01,4,1,5,2,5,1,1,3,5,5,3,5,1,4,2,5,5,1,5,1
621e324e67b776a2400191cb,31/12/2021 21:58,31/12/2021 21:57,31/12/2021 21:58,5,1,4,1,5,1,1,1,4,5,2,5,1,4,1,1,4,1,5,1
621e324e67b776a2400191cb,27/11/2021 19:21,27/11/2021 19:20,27/11/2021 19:21,4,1,3,1,4,1,1,1,4,4,2,5,1,4,3,5,5,1,5,1
621e324e67b776a2400191cb,20/12/2021 14:19,20/12/2021 14:18,20/12/2021 14:19,5,1,4,1,5,1,1,1,4,5,3,5,1,4,2,4,5,1,5,1
621e324e67b776a2400191cb,9/1/2022 1:27,9/1/2022 1:27,9/1/2022 1:27,5,1,5,2,5,1,1,1,5,5,2,5,1,4,1,5,5,1,5,1
621e324e67b776a2400191cb,17/1/2022 10:58,17/1/2022 10:58,17/1/2022 10:58,5,1,4,1,5,1,1,1,4,5,1,5,1,4,1,5,4,1,4,1
621e326767b776a24012e179,7/6/2021 17:05,7/6/2021 17:03,7/6/2021 17:05,4,5,2,4,1,3,2,4,3,4,4,2,4,2,4,4,3,4,2,3
621e326767b776a24012e179,1/7/2021 10:18,1/7/2021 10:17,1/7/2021 10:18,4,3,3,4,2,1,3,2,4,3,3,3,2,4,3,4,4,3,3,4
621e326767b776a24012e179,12/7/2021 11:52,12/7/2021 11:51,12/7/2021 11:52,4,3,3,5,3,2,1,4,4,4,2,3,2,3,4,4,4,3,3,3
621e326767b776a24012e179,28/6/2021 14:56,28/6/2021 14:55,28/6/2021 14:56,2,4,2,4,1,2,4,4,2,2,5,3,5,2,4,2,3,5,3,4
621e326767b776a24012e179,19/7/2021 10:46,19/7/2021 10:44,19/7/2021 10:46,4,2,5,3,3,4,2,3,4,4,3,2,2,3,3,4,3,3,4,2
621e326767b776a24012e179,26/7/2021 15:44,26/7/2021 15:43,26/7/2021 15:44,4,5,4,2,4,3,2,2,4,5,2,2,2,4,2,4,3,2,5,2
621e328667b776a240281372,31/5/2021 13:38,31/5/2021 13:35,31/5/2021 13:38,4,4,3,4,4,3,3,2,4,4,3,3,1,4,3,5,4,3,5,2
621e328667b776a240281372,19/9/2021 21:25,19/9/2021 21:22,19/9/2021 21:25,4,3,4,3,5,3,4,3,5,5,3,4,2,5,2,5,4,3,5,1
621e329067b776a2402ffad2,7/6/2021 12:58,7/6/2021 12:58,7/6/2021 12:58,4,1,3,2,4,1,1,1,4,4,1,1,1,3,1,1,1,1,4,1
621e329067b776a2402ffad2,5/7/2021 12:25,5/7/2021 12:24,5/7/2021 12:25,4,1,3,2,4,2,2,3,4,3,1,2,2,3,2,3,3,2,4,2
621e329067b776a2402ffad2,12/7/2021 13:11,12/7/2021 13:10,12/7/2021 13:11,4,2,4,2,4,2,2,3,4,3,1,2,2,3,2,2,3,2,4,2
